"",member,member,"",FALSE,08a30279,"",https://www.wikidata.org/wiki/Q379825
"",consequent,consequent,"",FALSE,174a0446,"",https://www.wikidata.org/wiki/Q261155
"",face,face,"",FALSE,03ea0190,"",https://www.wikidata.org/wiki/Q3064117
"",antecedent,antecedent,"",FALSE,166f041c,"",https://www.wikidata.org/wiki/Q260460
"",axiom,axiom,"",FALSE,0650021f,"",https://www.wikidata.org/wiki/Q17736
"",axonometry,axonometry,"",FALSE,178e0457,"",https://www.wikidata.org/wiki/Q56519998
"",area,area,"",FALSE,0409019a,"",https://www.wikidata.org/wiki/Q11500
"",value,value,"",FALSE,066a021e,"",https://www.wikidata.org/wiki/Q2912517
"",numeric value,numeric value,"",FALSE,066a021e/0c0702f4,"",https://www.wikidata.org/wiki/Q10388960
"",absolute value,absolute value,"",FALSE,066a021e/0ef70360,"",https://www.wikidata.org/wiki/Q120812
"",equivalence,equivalence,"",FALSE,1bd60493,"",https://www.wikidata.org/wiki/Q220433
"",relation,relation,"",FALSE,0f1f035f,"",https://www.wikidata.org/wiki/Q203066
"",class,class,"",FALSE,06200217,"",https://www.wikidata.org/wiki/Q217594
"",distribution,distribution,"",FALSE,212c0521,"",https://www.wikidata.org/wiki/Q865811
"",variance,variance,"",FALSE,0f11034a,"",https://www.wikidata.org/wiki/Q175199
"",barycenter,barycenter,"",FALSE,16c10430,"",https://www.wikidata.org/wiki/Q809690
"",vector,vector,"",FALSE,08fb0294,"",https://www.wikidata.org/wiki/Q13471665
"",equality,equality,"",FALSE,0f36036f,"",https://www.wikidata.org/wiki/Q842346
"",exponentiation,exponentiation,"",FALSE,2cd805f6,"",https://www.wikidata.org/wiki/Q33456
"",base,base,"",FALSE,03fa019c,"",https://www.wikidata.org/wiki/Q55091520
"",power,power,"",FALSE,0692022e,"",https://www.wikidata.org/wiki/Q55091534
"",exponent,exponent,"",FALSE,0f7a0372,"",https://www.wikidata.org/wiki/Q2233915
"",factor,factor,"",FALSE,08870280,"",https://www.wikidata.org/wiki/Q50708
"",multiplicand,multiplicand,"",FALSE,21570507,"",https://www.wikidata.org/wiki/Q54639911
"",multiplier,multiplier,"",FALSE,17c20448,"",https://www.wikidata.org/wiki/Q54639923
"",multiplication,multiplication,"",FALSE,2cd805ef,"",https://www.wikidata.org/wiki/Q40276
"",ordered pair,ordered pair,"",FALSE,1f0d04b2,"",https://www.wikidata.org/wiki/Q191290
"",union,union,"",FALSE,068d022a,"",https://www.wikidata.org/wiki/Q185359
